Q(Å⁻¹)	Intensity	Error
8.109177547473736536e-02	6.449647519542187134e-05	6.449647519542187218e-07
8.124527885795035376e-02	5.898842326479752446e-05	5.898842326479752658e-07
8.178946374615385373e-02	8.151637837199153145e-05	8.151637837199152849e-07
8.186852626433946400e-02	1.128474184196126502e-04	1.128474184196126485e-06
8.248701187355367281e-02	2.616008336091020644e-04	2.616008336091020661e-06
8.248701187355367281e-02	2.127487897071207853e-04	2.127487897071207938e-06
8.310538636498984721e-02	3.590599676987675320e-04	3.590599676987675218e-06
8.318441866170708798e-02	3.471164463642496681e-04	3.471164463642496783e-06
8.372829707002739374e-02	4.462602455684682020e-04	4.462602455684682529e-06
8.388168291562661527e-02	3.482361768363924034e-04	3.482361768363924017e-06
8.457880344056892263e-02	2.664958523699723493e-04	2.664958523699723645e-06
8.527577904203703651e-02	8.509951588284830057e-05	8.509951588284830269e-07
8.597260852578225698e-02	3.583137510856770479e-05	3.583137510856770500e-07
8.666929069780619777e-02	1.086138557978458632e-04	1.086138557978458649e-06
8.736582436436300669e-02	2.776931570913997020e-04	2.776931570913997257e-06
8.806220833196122533e-02	3.515953682528206092e-04	3.515953682528206143e-06
8.875844140736588450e-02	2.944891141735408394e-04	2.944891141735408310e-06
8.945452239760062763e-02	1.388465785456998510e-04	1.388465785456998628e-06
9.015045010994961194e-02	4.702867982999511169e-05	4.702867982999511381e-07
9.084622335195965959e-02	4.590894935785237642e-05	4.590894935785237981e-07
9.154184093144236700e-02	1.522833442114127555e-04	1.522833442114127555e-06
9.223730165647586743e-02	2.463407038714030060e-04	2.463407038714030043e-06
9.293260433540727339e-02	2.664958523699723493e-04	2.664958523699723645e-06
9.362774777685430039e-02	2.194671725399772240e-04	2.194671725399772190e-06
9.432273078970765390e-02	9.293762918784748812e-05	9.293762918784749362e-07
9.501755218313288898e-02	3.135245321999674339e-05	3.135245321999674254e-07
9.571221076657247806e-02	4.590894935785237642e-05	4.590894935785237981e-07
9.640670534974790651e-02	1.142125081585595666e-04	1.142125081585595666e-06
9.710103474266157386e-02	1.925936412085514421e-04	1.925936412085514336e-06
9.779519775559900041e-02	1.903541802642659444e-04	1.903541802642659444e-06
9.848919319913086723e-02	1.209308909914160189e-04	1.209308909914160130e-06
9.918301988411483416e-02	4.478921888570963438e-05	4.478921888570963522e-07
9.987667662169777416e-02	1.567622660999837169e-05	1.567622660999837127e-07
1.005701622233177994e-01	6.942328927284992549e-05	6.942328927284993142e-07
1.012634755007062182e-01	1.052546643814176438e-04	1.052546643814176523e-06
1.019566152658896857e-01	1.858752583756949762e-04	1.858752583756949872e-06
1.026495803311920224e-01	1.668398403492683953e-04	1.668398403492683928e-06
1.033423695092365729e-01	7.054301974499267431e-05	7.054301974499267601e-07
1.040349816129478439e-01	1.455649613785563134e-05	1.455649613785563198e-07
1.047274154555540016e-01	1.679595708214111374e-05	1.679595708214111321e-07
1.054196698505884544e-01	7.166275021713540958e-05	7.166275021713541001e-07
1.061117436118921703e-01	1.198111605192732701e-04	1.198111605192732684e-06
1.068036355536156751e-01	1.679595708214111306e-04	1.679595708214111374e-06
1.074953444902209398e-01	1.074941253257031144e-04	1.074941253257031203e-06
1.081868692364835322e-01	4.254975794142415029e-05	4.254975794142415135e-07
1.088782086074947392e-01	1.231703519357014895e-05	1.231703519357014810e-07
1.095693614186633164e-01	3.023272274785400473e-05	3.023272274785400325e-07
1.102603264857177773e-01	6.942328927284992549e-05	6.942328927284993142e-07
1.109511026247083365e-01	1.030152034371321597e-04	1.030152034371321631e-06
1.116416886520088664e-01	1.511636137392700203e-04	1.511636137392700321e-06
1.123320833843190897e-01	8.062059399427734595e-05	8.062059399427734552e-07
1.130222856386664115e-01	3.359191416428222748e-05	3.359191416428222642e-07
1.137122942324080843e-01	1.007757424928466824e-05	1.007757424928466819e-07
1.144021079832332199e-01	2.687353133142577859e-05	2.687353133142578008e-07
1.150917257091647328e-01	5.934571502356526741e-05	5.934571502356527250e-07
1.157811462285614490e-01	9.629682060427572103e-05	9.629682060427571679e-07
