Q(Å⁻¹)	Intensity	Error
4.751863467569948651e-02	5.554029638023617703e-03	5.554029638023617649e-05
4.789016708827197044e-02	4.144861380038959188e-03	4.144861380038959107e-05
4.804063536132619633e-02	2.014918732686906896e-03	2.014918732686907032e-05
4.826630965893462244e-02	1.806231465841128848e-03	1.806231465841128984e-05
4.856245574131801135e-02	1.616910094131468511e-04	1.616910094131468527e-06
4.864000812273085866e-02	2.861220216125393229e-04	2.861220216125393365e-06
4.901596235995545059e-02	2.276562737575935156e-04	2.276562737575935156e-06
4.908644316311280148e-02	7.767952689988243467e-04	7.767952689988244145e-06
4.939182103805329210e-02	1.396971230856508496e-03	1.396971230856508577e-05
4.960789622278889699e-02	3.315231046149276755e-03	3.315231046149276728e-05
4.976993163484901700e-02	3.384806657924664588e-03	3.384806657924664452e-05
5.013151071938570097e-02	6.370399629606078758e-03	6.370399629606078432e-05
5.014559638790787310e-02	5.723436572122495361e-03	5.723436572122495253e-05
5.051881639096900828e-02	7.594340503480759459e-03	7.594340503480760164e-05
5.065024182213915399e-02	8.372880592338129147e-03	8.372880592338128930e-05
5.089428550688693959e-02	8.646723964869783285e-03	8.646723964869782906e-05
5.117347636182404541e-02	8.621635991435276647e-03	8.621635991435277243e-05
5.127434689448753802e-02	8.646723964869783285e-03	8.646723964869782906e-05
5.164492534387842004e-02	7.711271999190649935e-03	7.711271999190649773e-05
5.169417206486474209e-02	6.674559640320320252e-03	6.674559640320320306e-05
5.202243909125807420e-02	5.781902319977440599e-03	5.781902319977440735e-05
5.221467374985291898e-02	3.899806234027576850e-03	3.899806234027577230e-05
5.239516244336769185e-02	3.735601145054339052e-03	3.735601145054339377e-05
5.273497946324685881e-02	1.328579972450682134e-03	1.328579972450682235e-05
5.277481455982588332e-02	1.689299970131237505e-03	1.689299970131237681e-05
5.314499095485512858e-02	6.953822565971594588e-04	6.953822565971594893e-06
5.325508725224028378e-02	1.209855804699769977e-04	1.209855804699769951e-06
5.352209208039813981e-02	1.691905259026477083e-04	1.691905259026477160e-06
5.377733663715374840e-02	4.421061865772056695e-04	4.421061865772056932e-06
5.389440503102743002e-02	4.615192651773766092e-04	4.615192651773766295e-06
5.426895482946741955e-02	1.280039735146617152e-03	1.280039735146617105e-05
5.429704180835859956e-02	1.848704897835629904e-03	1.848704897835630080e-05
5.464339882780303720e-02	2.507820440100478211e-03	2.507820440100478156e-05
5.481654319244610302e-02	3.447523690214578714e-03	3.447523690214578633e-05
5.501773629603652627e-02	3.618669649344447709e-03	3.618669649344447736e-05
5.533583883962881617e-02	4.332866769728521694e-03	4.332866769728522047e-05
5.539430510436358507e-02	4.320258623603796637e-03	4.320258623603796908e-05
5.576608872324611416e-02	4.320258623603796637e-03	4.320258623603796908e-05
5.585726456213777752e-02	4.035490997171475684e-03	4.035490997171476064e-05
5.614243946424274379e-02	3.852532640764230829e-03	3.852532640764231019e-05
5.637847874878863103e-02	2.892346867684122969e-03	2.892346867684123036e-05
5.651634282992306496e-02	2.800149179375207003e-03	2.800149179375206922e-05
5.689480772856726765e-02	1.448434846561126501e-03	1.448434846561126589e-05
5.741325997956779614e-02	4.421061865772056695e-04	4.421061865772056932e-06
5.793149674769191432e-02	3.426040269383461272e-04	3.426040269383461306e-06
5.845184901350225504e-02	9.791917073551409563e-04	9.791917073551409766e-06
5.896964798900621030e-02	2.230883647357613606e-03	2.230883647357613511e-05
5.948722564021376169e-02	2.989587614603917819e-03	2.989587614603918036e-05
6.000458002455761469e-02	3.271133498127509146e-03	3.271133498127509200e-05
6.052403809856440886e-02	2.588186856969881908e-03	2.588186856969881841e-05
6.104093909725253481e-02	1.420167187572814226e-03	1.420167187572814219e-05
6.155761099769509193e-02	5.009029172728954532e-04	5.009029172728955041e-06
6.207405186072421921e-02	8.028015152680717135e-05	8.028015152680716923e-07
6.259025974803918146e-02	4.568053692511281696e-04	4.568053692511281459e-06
6.310855639040546805e-02	1.393030234944034459e-03	1.393030234944034554e-05
6.362429144362455324e-02	2.509037411802607191e-03	2.509037411802607408e-05
6.413978770278572217e-02	3.398903316754681072e-03	3.398903316754680964e-05
6.465504323313352175e-02	3.465614991967098848e-03	3.465614991967099200e-05
6.517237542667669858e-02	2.888954748605525660e-03	2.888954748605525769e-05
6.568714259259902932e-02	1.647439165838845802e-03	1.647439165838845884e-05
6.620166322219106503e-02	6.433719185739898792e-04	6.433719185739898893e-06
6.671593538435902082e-02	6.784238157194971502e-05	6.784238157194971332e-07
6.722995714894175467e-02	1.503839458178218760e-04	1.503839458178218794e-06
6.774604028968585212e-02	8.355919996945141304e-04	8.355919996945142253e-06
6.825955432272683143e-02	1.618040800491000802e-03	1.618040800491000978e-05
6.877512355442999548e-02	2.313425211603485632e-03	2.313425211603485550e-05
6.928581188921315026e-02	2.401620307647019982e-03	2.401620307647019928e-05
6.980086061789503304e-02	2.086153233337453838e-03	2.086153233337453716e-05
7.031333714798619627e-02	1.501578045459153960e-03	1.501578045459154061e-05
7.082554977875962776e-02	6.354569740572624291e-04	6.354569740572624800e-06
7.133749658778397451e-02	1.696059539298743011e-04	1.696059539298743045e-06
7.184917565362552994e-02	1.322926440653019592e-04	1.322926440653019685e-06
7.236288808882337942e-02	4.251455911842182069e-04	4.251455911842182543e-06
7.287402468033725433e-02	9.237870957380488060e-04	9.237870957380487722e-06
7.338488776178640760e-02	1.207594391980705041e-03	1.207594391980705007e-05
