BetaPara	BetaPerp	DeltaPara	DeltaPerp	Delta	Beta	Energy
0.00153873	0.00142306	0.00216147	0.00184822	0.002097	0.00152254	307.9
0.00153485	0.00141963	0.00215943	0.00184703	0.00209519	0.00151874	307.95
0.0015314	0.00141674	0.0021574	0.00184575	0.00209336	0.00151538	308.0
0.00152809	0.00141398	0.00215563	0.00184471	0.00209179	0.00151215	308.05
0.00152478	0.00141122	0.002154	0.00184372	0.00209034	0.00150893	308.1
0.00152148	0.00140846	0.00215245	0.00184273	0.00208897	0.00150572	308.15
0.00151819	0.00140571	0.00215097	0.00184171	0.00208765	0.00150251	308.2
0.0015149	0.00140296	0.00214955	0.00184063	0.00208636	0.00149931	308.25
0.00151162	0.00140022	0.00214818	0.00183948	0.00208511	0.00149611	308.3
0.00150835	0.00139749	0.00214688	0.00183821	0.0020839	0.00149292	308.35
0.00150507	0.00139476	0.00214568	0.00183674	0.00208274	0.00148974	308.4
0.00150177	0.0013921	0.0021447	0.00183474	0.00208169	0.00148653	308.45
0.00149797	0.0013906	0.0021437	0.00183277	0.00208063	0.00148309	308.5
0.00149414	0.00138921	0.00214245	0.00183137	0.00207944	0.00147963	308.55
0.00149032	0.00138784	0.00214107	0.00183024	0.00207818	0.00147619	308.6
0.0014865	0.00138647	0.00213958	0.00182931	0.00207686	0.00147274	308.65
0.0014827	0.00138513	0.002138	0.00182857	0.00207549	0.00146931	308.7
0.0014789	0.00138379	0.0021363	0.00182801	0.00207405	0.00146588	308.75
0.0014751	0.00138248	0.0021345	0.00182764	0.00207255	0.00146245	308.8
0.00147132	0.00138118	0.00213256	0.00182753	0.00207096	0.00145904	308.85
0.00146755	0.00137986	0.00213038	0.00182785	0.00206924	0.00145563	308.9
0.00146403	0.00137806	0.00212778	0.00182891	0.00206725	0.00145236	308.95
0.00146123	0.00137505	0.00212521	0.00182985	0.00206527	0.00144953	309.0
0.0014586	0.0013717	0.00212306	0.00183004	0.00206355	0.0014468	309.05
0.00145598	0.00136834	0.00212111	0.0018298	0.00206193	0.00144407	309.1
0.00145336	0.00136498	0.00211927	0.00182927	0.00206036	0.00144135	309.15
0.00145074	0.00136163	0.00211752	0.00182852	0.00205884	0.00143863	309.2
0.00144814	0.00135829	0.00211584	0.00182754	0.00205734	0.00143592	309.25
0.00144553	0.00135496	0.00211424	0.00182633	0.00205588	0.00143321	309.3
0.00144293	0.00135164	0.00211272	0.00182484	0.00205444	0.00143051	309.35
0.00144033	0.00134833	0.00211128	0.001823	0.00205301	0.00142781	309.4
0.00143772	0.00134509	0.00211	0.00182039	0.00205161	0.00142511	309.45
0.0014348	0.00134344	0.00210872	0.00181771	0.00205021	0.00142238	309.5
0.00143186	0.0013419	0.00210731	0.0018157	0.00204878	0.00141965	309.55
0.00142893	0.00134036	0.00210583	0.00181398	0.00204735	0.00141693	309.6
0.001426	0.00133884	0.00210431	0.00181243	0.0020459	0.0014142	309.65
0.00142308	0.00133732	0.00210277	0.00181102	0.00204445	0.00141149	309.7
0.00142016	0.0013358	0.00210118	0.00180972	0.00204299	0.00140878	309.75
0.00141724	0.00133429	0.00209955	0.00180851	0.0020415	0.00140607	309.8
0.00141433	0.00133279	0.00209788	0.00180744	0.00203998	0.00140336	309.85
0.00141143	0.00133127	0.0020961	0.00180656	0.00203841	0.00140066	309.9
0.00140863	0.00132949	0.00209417	0.00180592	0.00203674	0.00139801	309.95
0.00140606	0.00132731	0.00209225	0.00180523	0.00203507	0.00139551	310.0
0.00140357	0.00132492	0.00209046	0.00180427	0.00203348	0.00139303	310.05
0.00140109	0.00132252	0.00208875	0.00180307	0.00203192	0.00139057	310.1
0.00139862	0.00132011	0.00208708	0.00180171	0.00203036	0.0013881	310.15
