BetaPara	BetaPerp	DeltaPara	DeltaPerp	Delta	Beta	Energy
2.0013893911258142e-06	2.0013893911258142e-06	8.245837403953966e-06	8.245837403953966e-06	8.245837403953966e-06	2.0013893911258142e-06	280.8
2.0086888266974336e-06	2.0086888266974336e-06	8.151066070418168e-06	8.151066070418168e-06	8.151066070418168e-06	2.0086888266974336e-06	280.9
2.015975118111715e-06	2.015975118111715e-06	8.050346746260164e-06	8.050346746260164e-06	8.050346746260164e-06	2.015975118111715e-06	281.0
2.02324828787681e-06	2.02324828787681e-06	7.94453210228284e-06	7.94453210228284e-06	7.94453210228284e-06	2.02324828787681e-06	281.1
2.03239504702777e-06	2.03239504702777e-06	7.833472596736057e-06	7.833472596736057e-06	7.833472596736057e-06	2.03239504702777e-06	281.2
2.0459280963647455e-06	2.0459280963647455e-06	7.719946223519799e-06	7.719946223519799e-06	7.719946223519799e-06	2.0459280963647455e-06	281.3
2.059443623611839e-06	2.059443623611839e-06	7.605279567242075e-06	7.605279567242075e-06	7.605279567242075e-06	2.059443623611839e-06	281.4
2.0729416558628637e-06	2.0729416558628637e-06	7.487997786721745e-06	7.487997786721745e-06	7.487997786721745e-06	2.0729416558628637e-06	281.5
2.086422220161146e-06	2.086422220161146e-06	7.3675901971130885e-06	7.3675901971130885e-06	7.3675901971130885e-06	2.086422220161146e-06	281.6
2.0998853434996837e-06	2.0998853434996837e-06	7.243659999249238e-06	7.243659999249238e-06	7.243659999249238e-06	2.0998853434996837e-06	281.7
2.1133310528213024e-06	2.1133310528213024e-06	7.115827220349656e-06	7.115827220349656e-06	7.115827220349656e-06	2.1133310528213024e-06	281.8
2.126759375018654e-06	2.126759375018654e-06	6.98369727024764e-06	6.98369727024764e-06	6.98369727024764e-06	2.126759375018654e-06	281.9
2.140170336934422e-06	2.140170336934422e-06	6.8469456360043355e-06	6.8469456360043355e-06	6.8469456360043355e-06	2.140170336934422e-06	282.0
2.1528152631360406e-06	2.1528152631360406e-06	6.704388260498989e-06	6.704388260498989e-06	6.704388260498989e-06	2.1528152631360406e-06	282.1
2.166184570748937e-06	2.166184570748937e-06	6.554339612336286e-06	6.554339612336286e-06	6.554339612336286e-06	2.166184570748937e-06	282.2
2.1843456812330543e-06	2.1843456812330543e-06	6.399370622306703e-06	6.399370622306703e-06	6.399370622306703e-06	2.1843456812330543e-06	282.3
2.2010410924791743e-06	2.2010410924791743e-06	6.240174155953079e-06	6.240174155953079e-06	6.240174155953079e-06	2.2010410924791743e-06	282.4
2.21888157185549e-06	2.21888157185549e-06	6.076293496730434e-06	6.076293496730434e-06	6.076293496730434e-06	2.21888157185549e-06	282.5
2.2302124246262394e-06	2.2302124246262394e-06	5.905445925138428e-06	5.905445925138428e-06	5.905445925138428e-06	2.2302124246262394e-06	282.6
