Energy,Intensity
2.966999999999973170e+02,2.813492083533243999e+02
2.967999999999973397e+02,2.784100906542764164e+02
2.968999999999973625e+02,2.785916012221913434e+02
2.969999999999973284e+02,2.773580465139769444e+02
2.970999999999972943e+02,2.775959697987424306e+02
2.971999999999973170e+02,2.774975884447362660e+02
2.972999999999973397e+02,2.778775788490189598e+02
2.973999999999973056e+02,2.767839195979899500e+02
2.974999999999972715e+02,2.765003156485947216e+02
2.975999999999972943e+02,2.762065351885053133e+02
2.976999999999973170e+02,2.768296760182823846e+02
2.977999999999972829e+02,2.767530365394813430e+02
2.978999999999972488e+02,2.760986591247695969e+02
2.979999999999972715e+02,2.755743541829751848e+02
2.980999999999972943e+02,2.751111335572334156e+02
2.981999999999972601e+02,2.740772455241029206e+02
2.982999999999972260e+02,2.744311507285169682e+02
2.983999999999972488e+02,2.746067018509633613e+02
2.984999999999972715e+02,2.743210272467866844e+02
2.985999999999972374e+02,2.740281811065377156e+02
2.986999999999972033e+02,2.732727203858488565e+02
2.987999999999972260e+02,2.737492487563445138e+02
2.988999999999972488e+02,2.731290876493017663e+02
2.989999999999972147e+02,2.727270775990505172e+02
2.990999999999971806e+02,2.723578444988763181e+02
2.991999999999972033e+02,2.720752253730966572e+02
2.992999999999972260e+02,2.717770763364561617e+02
2.993999999999971919e+02,2.717982879220221548e+02
2.994999999999971578e+02,2.716111966869523258e+02
2.995999999999971806e+02,2.704666043786772889e+02
2.996999999999972033e+02,2.706470038635388278e+02
2.997999999999971692e+02,2.696108684124138222e+02
2.998999999999971351e+02,2.693618595490012808e+02
2.999999999999971578e+02,2.689725511982020407e+02
3.000999999999971806e+02,2.688587156889977337e+02
3.001999999999971465e+02,2.689408853311784924e+02
3.002999999999971124e+02,2.674613267341733831e+02
3.003999999999971351e+02,2.676054645084719823e+02
3.004999999999971578e+02,2.673609504810484623e+02
3.005999999999971237e+02,2.664894573369359136e+02
3.006999999999970896e+02,2.657474306204388768e+02
3.007999999999971124e+02,2.651373197646524318e+02
3.008999999999971351e+02,2.654131966364485606e+02
3.009999999999971010e+02,2.657809651271432472e+02
3.010999999999970669e+02,2.653531981515618554e+02
3.011999999999970896e+02,2.651098962147420366e+02
3.012999999999971124e+02,2.638368475543546765e+02
3.013999999999970782e+02,2.650759576778364135e+02
3.014999999999970441e+02,2.648808110906290381e+02
3.015999999999970669e+02,2.646590490139137728e+02
3.016999999999970896e+02,2.651653998636398342e+02
3.017999999999970555e+02,2.637135678391960028e+02
3.018999999999970214e+02,2.623197394005201772e+02
3.019999999999970441e+02,2.635560213125930886e+02
3.020999999999970669e+02,2.619414661245928073e+02
3.021999999999970328e+02,2.604011767379611797e+02
3.022999999999969987e+02,2.593314562763566755e+02
3.023999999999970214e+02,2.617730360344435780e+02
3.024999999999970441e+02,2.609359359612130902e+02
3.025999999999970100e+02,2.605698340950985994e+02
3.026999999999969759e+02,2.598525794803161375e+02
3.027999999999969987e+02,2.594214540036867902e+02
3.028999999999970214e+02,2.590523471629504115e+02
3.029999999999969873e+02,2.587274816292517698e+02
3.030999999999969532e+02,2.580950986086210150e+02
3.031999999999969759e+02,2.576894522865584349e+02
3.032999999999969987e+02,2.567992727456377224e+02
3.033999999999969646e+02,2.562301962071665002e+02
3.034999999999969305e+02,2.556414989520466747e+02
3.035999999999969532e+02,2.543251685563495812e+02
3.036999999999969759e+02,2.542274690033079878e+02
3.037999999999969418e+02,2.529328552309285101e+02
3.038999999999969077e+02,2.525979141940860018e+02
3.039999999999969305e+02,2.520711598191964811e+02
3.040999999999969532e+02,2.509693694603671759e+02
3.041999999999969191e+02,2.499812125956415230e+02
3.042999999999968850e+02,2.488517461680260681e+02
3.043999999999969077e+02,2.484556198075806037e+02
3.044999999999969305e+02,2.475689250271457809e+02
3.045999999999968963e+02,2.458672003232241536e+02
3.046999999999968622e+02,2.454296103633746498e+02
3.047999999999968850e+02,2.445199868690184530e+02
3.048999999999969077e+02,2.437259160122219157e+02
3.049999999999968736e+02,2.425182949925506932e+02
3.050999999999968395e+02,2.414167824044847350e+02
3.051999999999968622e+02,2.403988788161915124e+02
3.052999999999968850e+02,2.391296684427160812e+02
3.053999999999968509e+02,2.380389889144213669e+02
3.054999999999968168e+02,2.362069897224817510e+02
3.055999999999968395e+02,2.354807959394964882e+02
3.056999999999968622e+02,2.338789171990606235e+02
3.057999999999968281e+02,2.324175904648872404e+02
3.058999999999967940e+02,2.316942501451983674e+02
3.059999999999968168e+02,2.315375369308855795e+02
3.060999999999968395e+02,2.300290396707153775e+02
3.061999999999968054e+02,2.299583343854953057e+02
3.062999999999967713e+02,2.275278654579429940e+02
3.063999999999967940e+02,2.274549127547284115e+02
3.064999999999968168e+02,2.270136360192924485e+02
3.065999999999967827e+02,2.254661245928133155e+02
3.066999999999967486e+02,2.244644327163455557e+02
3.067999999999967713e+02,2.242501957021287353e+02
3.068999999999967940e+02,2.236832655741016538e+02
3.069999999999967599e+02,2.219694452160298965e+02
3.070999999999967258e+02,2.221260574227923428e+02
3.071999999999967486e+02,2.192961288856342037e+02
3.072999999999967713e+02,2.179036893007752269e+02
3.073999999999967372e+02,2.165620565137244000e+02
3.074999999999967031e+02,2.164185247847276514e+02
3.075999999999967258e+02,2.154288780586348935e+02
3.076999999999967486e+02,2.154249640160601871e+02
3.077999999999967145e+02,2.147675816267266100e+02
3.078999999999966803e+02,2.132643367591727497e+02
3.079999999999967031e+02,2.119526779626777113e+02
3.080999999999967258e+02,2.129293199666675207e+02
3.081999999999966917e+02,2.105521325219060031e+02
3.082999999999966576e+02,2.101431529506830600e+02
3.083999999999966803e+02,2.096263478194995002e+02
3.084999999999967031e+02,2.088955076891997749e+02
3.085999999999966690e+02,2.085382944875129283e+02
3.086999999999966349e+02,2.079103052953208248e+02
3.087999999999966576e+02,2.072449938132875502e+02
3.088999999999966803e+02,2.066462210550238581e+02
3.089999999999966462e+02,2.056435696068281231e+02
3.090999999999966121e+02,2.051012600691901753e+02
3.091999999999966349e+02,2.049619706573066367e+02
3.092999999999966576e+02,2.038332870382060946e+02
3.093999999999966235e+02,2.029653039064669997e+02
3.094999999999965894e+02,2.024841039367692872e+02
3.095999999999966121e+02,2.018546501350975859e+02
3.096999999999966349e+02,2.016445291785560983e+02
3.097999999999966008e+02,2.002304234741546907e+02
3.098999999999965667e+02,1.999595464760990922e+02
3.099999999999965894e+02,1.997024317567738194e+02
3.100999999999966121e+02,1.993517587939698501e+02
3.101999999999965780e+02,1.990331809802782743e+02
3.102999999999965439e+02,1.982405747329612780e+02
3.103999999999965667e+02,1.982931996666750933e+02
3.104999999999965894e+02,1.967136435948587234e+02
3.105999999999965553e+02,1.964115805156435499e+02
3.106999999999965212e+02,1.961887073558748398e+02
3.107999999999965439e+02,1.953548900280295868e+02
3.108999999999965667e+02,1.942012827958890000e+02
3.109999999999965326e+02,1.940184843817075375e+02
3.110999999999964984e+02,1.941232292113835456e+02
3.111999999999965212e+02,1.940065654907704413e+02
3.112999999999965439e+02,1.934725890760334437e+02
3.113999999999965098e+02,1.931188606348324583e+02
3.114999999999964757e+02,1.928161915103154058e+02
3.115999999999964984e+02,1.926443271634554719e+02
3.116999999999965212e+02,1.915096840988863960e+02
3.117999999999964871e+02,1.904719830307315362e+02
3.118999999999964530e+02,1.902905987222544866e+02
3.119999999999964757e+02,1.899447236180904497e+02
3.120999999999964984e+02,1.902224186257922725e+02
3.121999999999964643e+02,1.886936440998964599e+02
3.122999999999964302e+02,1.889558849524001971e+02
3.123999999999964530e+02,1.889757329360369624e+02
3.124999999999964757e+02,1.880096209691674574e+02
3.125999999999964416e+02,1.877255877376833837e+02
3.126999999999964075e+02,1.869039165677634458e+02
3.127999999999964302e+02,1.865447337188454924e+02
3.128999999999964530e+02,1.863721118153582097e+02
3.129999999999964189e+02,1.859509608343223590e+02
3.130999999999963848e+02,1.860405040276760644e+02
3.131999999999964075e+02,1.853375167293755226e+02
3.132999999999964302e+02,1.853859245978636920e+02
3.133999999999963961e+02,1.842028736648064466e+02
