Energy,Intensity
2.880999999999978627e+02,2.375110729527032163e+02
2.881999999999978286e+02,2.438830585086235203e+02
2.882999999999977945e+02,2.543622888310901260e+02
2.883999999999978172e+02,2.679174515795055527e+02
2.884999999999978400e+02,2.789719704047877826e+02
2.885999999999978058e+02,2.864957703088305720e+02
2.886999999999977717e+02,2.889010378525794636e+02
2.887999999999977945e+02,2.885095073356733337e+02
2.888999999999978172e+02,2.814579682331254276e+02
2.889999999999977831e+02,2.778943713542587375e+02
2.890999999999977490e+02,2.740109845710966852e+02
2.891999999999977717e+02,2.744416302618620875e+02
2.892999999999977945e+02,2.736732658266205362e+02
2.893999999999977604e+02,2.765961718138430570e+02
2.894999999999977263e+02,2.787104618570238017e+02
2.895999999999977490e+02,2.802696396555642764e+02
2.896999999999977717e+02,2.814021615615767473e+02
2.897999999999977376e+02,2.822304487260422547e+02
2.898999999999977035e+02,2.821917123304967276e+02
2.899999999999977263e+02,2.832884523118103175e+02
2.900999999999977490e+02,2.875637483901921883e+02
2.901999999999977149e+02,2.882810030049746501e+02
2.902999999999976808e+02,2.907268250801747627e+02
2.903999999999977035e+02,2.918881341380268282e+02
2.904999999999977263e+02,2.922572662306507141e+02
2.905999999999976922e+02,2.924338274286002957e+02
2.906999999999976581e+02,2.922272669882073615e+02
2.907999999999976808e+02,2.922712052725941021e+02
2.908999999999977035e+02,2.930129794702153845e+02
2.909999999999976694e+02,2.935317542486300795e+02
2.910999999999976353e+02,2.943736774323880923e+02
2.911999999999976581e+02,2.953375419812630867e+02
2.912999999999976808e+02,2.993661776217772399e+02
2.913999999999976467e+02,3.005670816393525229e+02
2.914999999999976126e+02,3.010809575515770007e+02
2.915999999999976353e+02,3.035160980783313676e+02
2.916999999999976581e+02,3.058912653720865364e+02
2.917999999999976239e+02,3.073584000404030121e+02
2.918999999999975898e+02,3.084870079038408335e+02
2.919999999999976126e+02,3.104038786899320712e+02
2.920999999999976353e+02,3.121954243579707509e+02
2.921999999999976012e+02,3.139515921315118021e+02
2.922999999999975671e+02,3.162177975303653739e+02
2.923999999999975898e+02,3.175501123708997397e+02
2.924999999999976126e+02,3.182104997348552047e+02
2.925999999999975785e+02,3.191729249261382506e+02
2.926999999999975444e+02,3.236511199212141037e+02
2.927999999999975671e+02,3.266251862326708988e+02
2.928999999999975898e+02,3.279091437084921949e+02
2.929999999999975557e+02,3.302693366329133369e+02
2.930999999999975216e+02,3.324311002247417832e+02
2.931999999999975444e+02,3.334950380040908158e+02
2.932999999999975671e+02,3.357958132370394537e+02
2.933999999999975330e+02,3.359948486149339715e+02
2.934999999999974989e+02,3.374644074644579632e+02
2.935999999999975216e+02,3.394417565212999648e+02
2.936999999999975444e+02,3.403122143380217608e+02
2.937999999999975103e+02,3.413667079114163698e+02
2.938999999999974762e+02,3.424003181737834893e+02
2.939999999999974989e+02,3.416760687861417409e+02
2.940999999999975216e+02,3.411565111992121615e+02
2.941999999999974875e+02,3.399707583141839677e+02
2.942999999999974534e+02,3.402898916694022660e+02
2.943999999999974762e+02,3.381907275068811600e+02
2.944999999999974989e+02,3.373532486553369836e+02
2.945999999999974648e+02,3.357575313754703075e+02
2.946999999999974307e+02,3.334700891391631785e+02
2.947999999999974534e+02,3.308127320017171087e+02
2.948999999999974762e+02,3.283229463902426915e+02
2.949999999999974420e+02,3.266802100957046378e+02
2.950999999999974079e+02,3.255974091563344359e+02
2.951999999999974307e+02,3.239323249412893801e+02
2.952999999999974534e+02,3.235326633165828980e+02
2.953999999999974193e+02,3.211122446402868604e+02
2.954999999999973852e+02,3.201464356960682949e+02
2.955999999999974079e+02,3.183087043256483639e+02
2.956999999999974307e+02,3.187602838312163840e+02
2.957999999999973966e+02,3.165590515391025406e+02
2.958999999999973625e+02,3.147552082018131046e+02
2.959999999999973852e+02,3.139298755081942431e+02
2.960999999999974079e+02,3.121093406732153426e+02
2.961999999999973738e+02,3.106512209287644168e+02
2.962999999999973397e+02,3.101692381505517346e+02
2.963999999999973625e+02,3.082134037019267225e+02
2.964999999999973852e+02,3.081032044645337464e+02
2.965999999999973511e+02,3.068526804878664507e+02
2.966999999999973170e+02,3.069047751319411077e+02
2.967999999999973397e+02,3.038484381707532407e+02
2.968999999999973625e+02,3.036501603494861001e+02
2.969999999999973284e+02,3.028291457286431978e+02
2.970999999999972943e+02,3.030193429458852279e+02
2.971999999999973170e+02,3.021244160500997396e+02
