Energy,Processed_Intensity
3.098999999999965667e+02,1.201093133169078175e+00
3.099999999999965894e+02,1.195438189423574382e+00
3.100999999999966121e+02,1.192848728778044709e+00
3.101999999999965780e+02,1.188735725752384287e+00
3.102999999999965439e+02,1.189189084073486669e+00
3.103999999999965667e+02,1.187422934216079806e+00
3.104999999999965894e+02,1.178186591694937890e+00
3.105999999999965553e+02,1.178266149248335948e+00
3.106999999999965212e+02,1.172366163579249498e+00
3.107999999999965439e+02,1.165396461320949317e+00
3.108999999999965667e+02,1.156427825989854608e+00
3.109999999999965326e+02,1.151160716317747523e+00
3.110999999999964984e+02,1.156703225925449496e+00
3.111999999999965212e+02,1.159735315000844924e+00
3.112999999999965439e+02,1.151273945927876907e+00
3.113999999999965098e+02,1.149646477350923179e+00
3.114999999999964757e+02,1.147377989004641607e+00
3.115999999999964984e+02,1.141374705538846790e+00
3.116999999999965212e+02,1.137335952852419396e+00
3.117999999999964871e+02,1.129985358985096333e+00
3.118999999999964530e+02,1.126939742020254709e+00
3.119999999999964757e+02,1.129446896363972330e+00
3.120999999999964984e+02,1.128068875160713302e+00
3.121999999999964643e+02,1.122000315479516841e+00
3.122999999999964302e+02,1.119348301510312949e+00
3.123999999999964530e+02,1.117478799301309778e+00
3.124999999999964757e+02,1.115712092671849787e+00
3.125999999999964416e+02,1.118171393640110978e+00
3.126999999999964075e+02,1.107762468730590699e+00
3.127999999999964302e+02,1.106958094703786477e+00
3.128999999999964530e+02,1.103876204030220354e+00
3.129999999999964189e+02,1.101636485107519547e+00
3.130999999999963848e+02,1.103112614376579703e+00
3.131999999999964075e+02,1.098257120592748937e+00
3.132999999999964302e+02,1.100144117166121038e+00
3.133999999999963961e+02,1.095775814898162670e+00
3.134999999999963620e+02,1.097731460408373216e+00
3.135999999999963848e+02,1.095500207209178400e+00
3.136999999999964075e+02,1.100286130550341746e+00
3.137999999999963734e+02,1.099077340654086576e+00
3.138999999999963393e+02,1.089763018654004822e+00
3.139999999999963620e+02,1.086959219445098324e+00
3.140999999999963848e+02,1.085678974419022502e+00
3.141999999999963507e+02,1.083032204762084394e+00
3.142999999999963165e+02,1.088067776533945930e+00
3.143999999999963393e+02,1.087086418559405576e+00
3.144999999999963620e+02,1.088226552420240356e+00
3.145999999999963279e+02,1.080416275849663155e+00
3.146999999999962938e+02,1.075162973211223338e+00
3.147999999999963165e+02,1.081012199663023976e+00
3.148999999999963393e+02,1.065904117582615829e+00
3.149999999999963052e+02,1.076170482524330785e+00
3.150999999999962711e+02,1.070554117268592842e+00
3.151999999999962938e+02,1.067035531225008382e+00
3.152999999999963165e+02,1.069057007497505873e+00
3.153999999999962824e+02,1.068913667623901720e+00
3.154999999999962483e+02,1.066275988822548149e+00
3.155999999999962711e+02,1.069171921007945336e+00
3.156999999999962938e+02,1.069653656521355911e+00
3.157999999999962597e+02,1.067507711455205843e+00
