Energy,Processed_Intensity
2.794999999999982947e+02,-7.259087885415126205e-04
2.795999999999983174e+02,-1.440156836396139575e-03
2.796999999999983402e+02,-5.063683669144685220e-04
2.797999999999983061e+02,9.261057769253486379e-05
2.798999999999982720e+02,-8.878851943805458804e-04
2.799999999999982947e+02,1.753734765896479441e-04
2.800999999999983174e+02,-1.288830919123386482e-03
2.801999999999982833e+02,-1.839970051054943710e-03
2.802999999999982492e+02,-1.451785893021426046e-03
2.803999999999982720e+02,-4.530709006219370239e-04
2.804999999999982947e+02,-8.385776168363851023e-04
2.805999999999982606e+02,2.389713611614619967e-04
2.806999999999982265e+02,-2.283325909471635808e-04
2.807999999999982492e+02,-1.462179632404256866e-03
2.808999999999982720e+02,-1.185479947256213055e-03
2.809999999999982379e+02,-4.580614063768208700e-04
2.810999999999982037e+02,5.676291588739077864e-04
2.811999999999982265e+02,-1.493576989097307461e-03
2.812999999999982492e+02,-5.834099442659819315e-04
2.813999999999982151e+02,-5.539253728345504843e-04
2.814999999999981810e+02,7.647051742455983825e-04
2.815999999999982037e+02,5.982854416044047861e-04
2.816999999999982265e+02,1.315449628537897512e-03
2.817999999999981924e+02,7.384895433883886980e-04
2.818999999999981583e+02,1.529914531185589833e-05
2.819999999999981810e+02,1.475158539010225410e-03
2.820999999999982037e+02,3.595520490421609192e-04
2.821999999999981696e+02,1.476284190745286119e-03
2.822999999999981355e+02,1.891870226068701876e-03
2.823999999999981583e+02,1.649078852672052542e-03
2.824999999999981810e+02,2.689963161216597006e-03
2.825999999999981469e+02,2.529183267191138090e-03
2.826999999999981128e+02,2.094539909617473654e-03
2.827999999999981355e+02,2.380457469973206938e-03
2.828999999999981583e+02,2.234058516543406276e-03
2.829999999999981242e+02,2.234751732338575297e-03
2.830999999999980901e+02,1.197830652722732623e-03
2.831999999999981128e+02,3.545680735925585934e-03
2.832999999999981355e+02,3.752999867881549965e-03
2.833999999999981014e+02,4.282711564275716240e-03
2.834999999999980673e+02,4.060442178518602722e-03
2.835999999999980901e+02,5.050005747524704235e-03
2.836999999999981128e+02,5.360702931294527782e-03
2.837999999999980787e+02,7.575546629158100460e-03
2.838999999999980446e+02,7.830182289561593220e-03
2.839999999999980673e+02,9.784921215106025250e-03
2.840999999999980901e+02,1.210701806524007267e-02
2.841999999999980560e+02,1.631997995820450714e-02
2.842999999999980218e+02,2.027959462235449234e-02
2.843999999999980446e+02,2.829664847397020400e-02
2.844999999999980673e+02,4.100720026166103371e-02
2.845999999999980332e+02,5.839802229661341521e-02
2.846999999999979991e+02,9.946746921187719914e-02
2.847999999999980218e+02,1.747845729575904783e-01
2.848999999999980446e+02,4.719528953645886760e-01
2.849999999999980105e+02,1.173576390096276567e+00
2.850999999999979764e+02,1.460916812880486582e+00
2.851999999999979991e+02,1.499404407146534668e+00
2.852999999999980218e+02,1.770008402086420407e+00
2.853999999999979877e+02,1.526154924567755033e+00
2.854999999999979536e+02,1.293676514977173619e+00
2.855999999999979764e+02,9.007101595422094542e-01
2.856999999999979991e+02,5.813752542145113056e-01
2.857999999999979650e+02,3.794655771447187909e-01
2.858999999999979309e+02,2.496537277398722110e-01
2.859999999999979536e+02,1.876722552505299679e-01
2.860999999999979764e+02,1.565593960679866337e-01
2.861999999999979423e+02,1.423908764369538060e-01
2.862999999999979082e+02,1.273970025090879754e-01
2.863999999999979309e+02,1.156361619392224649e-01
2.864999999999979536e+02,1.118113539917172383e-01
2.865999999999979195e+02,1.162281515588904357e-01
2.866999999999978854e+02,1.613541926723577602e-01
2.867999999999979082e+02,2.694000503615242570e-01
2.868999999999979309e+02,3.726327327230873343e-01
2.869999999999978968e+02,5.041122323769564595e-01
2.870999999999978627e+02,6.477746161868603858e-01
2.871999999999978854e+02,7.474589089299686906e-01
2.872999999999979082e+02,8.096743068438070345e-01
2.873999999999978741e+02,8.475870835175379758e-01
2.874999999999978400e+02,9.011252999685603893e-01
2.875999999999978627e+02,9.615884498515356871e-01
2.876999999999978854e+02,1.007080854211092058e+00
2.877999999999978513e+02,1.049750951458181092e+00
2.878999999999978172e+02,1.085263966410532799e+00
2.879999999999978400e+02,1.109429766112749682e+00
2.880999999999978627e+02,1.109176970366120285e+00
2.881999999999978286e+02,1.113229730432123477e+00
2.882999999999977945e+02,1.118272645121248354e+00
2.883999999999978172e+02,1.130619077387052585e+00
2.884999999999978400e+02,1.142031902312033553e+00
2.885999999999978058e+02,1.165651609998491045e+00
2.886999999999977717e+02,1.179627767363861546e+00
2.887999999999977945e+02,1.184458332607817521e+00
2.888999999999978172e+02,1.150588646350205302e+00
2.889999999999977831e+02,1.134653142509521873e+00
2.890999999999977490e+02,1.099833431115373239e+00
2.891999999999977717e+02,1.070712449633625107e+00
2.892999999999977945e+02,1.042487089228680164e+00
2.893999999999977604e+02,1.022120841678936909e+00
2.894999999999977263e+02,1.015365851327713509e+00
2.895999999999977490e+02,1.014915505159821763e+00
2.896999999999977717e+02,1.024663534986097524e+00
2.897999999999977376e+02,1.042068042775857961e+00
2.898999999999977035e+02,1.060359271203831444e+00
2.899999999999977263e+02,1.092450456403770476e+00
2.900999999999977490e+02,1.135075518924205662e+00
2.901999999999977149e+02,1.155225428881768934e+00
2.902999999999976808e+02,1.174665014069040003e+00
2.903999999999977035e+02,1.180137726036622370e+00
2.904999999999977263e+02,1.185168972120250741e+00
2.905999999999976922e+02,1.187002713648365626e+00
2.906999999999976581e+02,1.197402414543913052e+00
2.907999999999976808e+02,1.198000943996639034e+00
2.908999999999977035e+02,1.209799971745121772e+00
2.909999999999976694e+02,1.226616664568780601e+00
2.910999999999976353e+02,1.231291670687234552e+00
2.911999999999976581e+02,1.246827592870142443e+00
2.912999999999976808e+02,1.270584839096039698e+00
2.913999999999976467e+02,1.287322275884003719e+00
2.914999999999976126e+02,1.297341695903982517e+00
2.915999999999976353e+02,1.321095989574825769e+00
2.916999999999976581e+02,1.347211194046017635e+00
2.917999999999976239e+02,1.364133653637493948e+00
2.918999999999975898e+02,1.384612972698552325e+00
2.919999999999976126e+02,1.406272520187350494e+00
2.920999999999976353e+02,1.418152966757534328e+00
2.921999999999976012e+02,1.437091132000048121e+00
2.922999999999975671e+02,1.455081261699203043e+00
2.923999999999975898e+02,1.465558037221356136e+00
2.924999999999976126e+02,1.462051468201495785e+00
2.925999999999975785e+02,1.465015579947007707e+00
2.926999999999975444e+02,1.486477888806387426e+00
2.927999999999975671e+02,1.492194772739748432e+00
2.928999999999975898e+02,1.490229485691076050e+00
2.929999999999975557e+02,1.496017486113139672e+00
2.930999999999975216e+02,1.497550282378991016e+00
2.931999999999975444e+02,1.490388033033525961e+00
2.932999999999975671e+02,1.493824331892438240e+00
2.933999999999975330e+02,1.483254774253337072e+00
2.934999999999974989e+02,1.484552859132855174e+00
2.935999999999975216e+02,1.486064247077844014e+00
2.936999999999975444e+02,1.476487840347004754e+00
2.937999999999975103e+02,1.471520720995879383e+00
2.938999999999974762e+02,1.468712649905443257e+00
2.939999999999974989e+02,1.456323193325626431e+00
2.940999999999975216e+02,1.447192817723268021e+00
2.941999999999974875e+02,1.433416819867066261e+00
2.942999999999974534e+02,1.428747488169216151e+00
2.943999999999974762e+02,1.416067685835964207e+00
2.944999999999974989e+02,1.410207428761764303e+00
2.945999999999974648e+02,1.400161128817723366e+00
2.946999999999974307e+02,1.392127444835844274e+00
2.947999999999974534e+02,1.375504999008311247e+00
2.948999999999974762e+02,1.370416204975649865e+00
2.949999999999974420e+02,1.358557045084000325e+00
2.950999999999974079e+02,1.358147732926863194e+00
2.951999999999974307e+02,1.349515302295871466e+00
2.952999999999974534e+02,1.355770499419026054e+00
2.953999999999974193e+02,1.342624817260657188e+00
2.954999999999973852e+02,1.343672131963188576e+00
2.955999999999974079e+02,1.332377879614920602e+00
2.956999999999974307e+02,1.340688427347061173e+00
2.957999999999973966e+02,1.329578846985754126e+00
2.958999999999973625e+02,1.326017461946661591e+00
2.959999999999973852e+02,1.322040594395297974e+00
2.960999999999974079e+02,1.318044397637017529e+00
2.961999999999973738e+02,1.312950618315564144e+00
2.962999999999973397e+02,1.307910369938327433e+00
2.963999999999973625e+02,1.304132454945576836e+00
2.964999999999973852e+02,1.314317965961483203e+00
2.965999999999973511e+02,1.304551457036464912e+00
2.966999999999973170e+02,1.310208962890020201e+00
2.967999999999973397e+02,1.293107680300354279e+00
