Energy,Processed_Intensity
2.938999999999974762e+02,1.488083946941564317e+00
2.939999999999974989e+02,1.485752029374328709e+00
2.940999999999975216e+02,1.484622140156440784e+00
2.941999999999974875e+02,1.479559570670727853e+00
2.942999999999974534e+02,1.483374529789600604e+00
2.943999999999974762e+02,1.472901557523155436e+00
2.944999999999974989e+02,1.469873780169858479e+00
2.945999999999974648e+02,1.462349332093931142e+00
2.946999999999974307e+02,1.450709501621297637e+00
2.947999999999974534e+02,1.436852023824773728e+00
2.948999999999974762e+02,1.423963079218955263e+00
2.949999999999974420e+02,1.416085429213538305e+00
2.950999999999974079e+02,1.411524915348125297e+00
2.951999999999974307e+02,1.403486765190862906e+00
2.952999999999974534e+02,1.402978703056816157e+00
2.953999999999974193e+02,1.390408167042875398e+00
2.954999999999973852e+02,1.386503874877682119e+00
2.955999999999974079e+02,1.377377502654664632e+00
2.956999999999974307e+02,1.381937742017118387e+00
2.957999999999973966e+02,1.370610951597359239e+00
2.958999999999973625e+02,1.361645544631931770e+00
2.959999999999973852e+02,1.358537409515774064e+00
2.960999999999974079e+02,1.349442307829455068e+00
2.961999999999973738e+02,1.342509520400546386e+00
2.962999999999973397e+02,1.341440942710398376e+00
2.963999999999973625e+02,1.331486741658396200e+00
2.964999999999973852e+02,1.332648324631187542e+00
2.965999999999973511e+02,1.326925448534435503e+00
2.966999999999973170e+02,1.329065931163747383e+00
2.967999999999973397e+02,1.312400910290698608e+00
2.968999999999973625e+02,1.313014734097372793e+00
2.969999999999973284e+02,1.309854022912449123e+00
2.970999999999972943e+02,1.312824254706083327e+00
2.971999999999973170e+02,1.309208068230681699e+00
2.972999999999973397e+02,1.312652676120700468e+00
2.973999999999973056e+02,1.314675043075179461e+00
2.974999999999972715e+02,1.311438126782050295e+00
2.975999999999972943e+02,1.310170224771501912e+00
2.976999999999973170e+02,1.311115564359717656e+00
2.977999999999972829e+02,1.316136063375614951e+00
2.978999999999972488e+02,1.318249068562692417e+00
2.979999999999972715e+02,1.313225145049956355e+00
2.980999999999972943e+02,1.310182226994797361e+00
2.981999999999972601e+02,1.311659421037765894e+00
2.982999999999972260e+02,1.317377008772852243e+00
2.983999999999972488e+02,1.315770478395151155e+00
2.984999999999972715e+02,1.320303897798476012e+00
2.985999999999972374e+02,1.320341249371365322e+00
2.986999999999972033e+02,1.318399298914199491e+00
2.987999999999972260e+02,1.320937590628033176e+00
2.988999999999972488e+02,1.326047304780188174e+00
2.989999999999972147e+02,1.326000785273693472e+00
2.990999999999971806e+02,1.324566877890273497e+00
2.991999999999972033e+02,1.323751567202648305e+00
2.992999999999972260e+02,1.330672351053050484e+00
2.993999999999971919e+02,1.329410697870790914e+00
2.994999999999971578e+02,1.331317243391719307e+00
2.995999999999971806e+02,1.331828456156588514e+00
2.996999999999972033e+02,1.336792834238722083e+00
2.997999999999971692e+02,1.327112928237618172e+00
2.998999999999971351e+02,1.331480649386318271e+00
2.999999999999971578e+02,1.331173008845917938e+00
3.000999999999971806e+02,1.331431284988519259e+00
3.001999999999971465e+02,1.332005349081841539e+00
3.002999999999971124e+02,1.331941031857385216e+00
3.003999999999971351e+02,1.336526921894279907e+00
3.004999999999971578e+02,1.335080229197341373e+00
3.005999999999971237e+02,1.330970512717614351e+00
3.006999999999970896e+02,1.333408583590975915e+00
3.007999999999971124e+02,1.331107777124793889e+00
3.008999999999971351e+02,1.340509560017127511e+00
3.009999999999971010e+02,1.337366951622022127e+00
3.010999999999970669e+02,1.338518442952461251e+00
