Energy,Intensity
2.796999999999983402e+02,9.892184540794424663e+01
2.797999999999983061e+02,9.867975556172824270e+01
2.798999999999982720e+02,9.845854902653972829e+01
2.799999999999982947e+02,9.847155374864270527e+01
2.800999999999983174e+02,9.822850433069872622e+01
2.801999999999982833e+02,9.819971717885911744e+01
2.802999999999982492e+02,9.828229085124112885e+01
2.803999999999982720e+02,9.829986616499583363e+01
2.804999999999982947e+02,9.830807302845887818e+01
2.805999999999982606e+02,9.843880205045327614e+01
2.806999999999982265e+02,9.803270119441428676e+01
2.807999999999982492e+02,9.806777606626094723e+01
2.808999999999982720e+02,9.808373525921062708e+01
2.809999999999982379e+02,9.704712002222166234e+01
2.810999999999982037e+02,9.787793237544507008e+01
2.811999999999982265e+02,9.741057044014040400e+01
2.812999999999982492e+02,9.775470316406151028e+01
2.813999999999982151e+02,9.734935986464988389e+01
2.814999999999981810e+02,9.758551551728491802e+01
2.815999999999982037e+02,9.763213050175500030e+01
2.816999999999982265e+02,9.755200626246812590e+01
2.817999999999981924e+02,9.681351481023206418e+01
2.818999999999981583e+02,9.731170930027019494e+01
2.819999999999981810e+02,9.725395823337794354e+01
2.820999999999982037e+02,9.729802277720258985e+01
2.821999999999981696e+02,9.716691497689451751e+01
2.822999999999981355e+02,9.707368500795433874e+01
2.823999999999981583e+02,9.713628443726167916e+01
2.824999999999981810e+02,9.719168707860912093e+01
2.825999999999981469e+02,9.713226938713668801e+01
2.826999999999981128e+02,9.704605944294335984e+01
2.827999999999981355e+02,9.687927072548673380e+01
2.828999999999981583e+02,9.690267922527209521e+01
2.829999999999981242e+02,9.703249917931366042e+01
2.830999999999980901e+02,9.673773389560869873e+01
2.831999999999981128e+02,9.693851165374611867e+01
2.832999999999981355e+02,9.708648771495668939e+01
2.833999999999981014e+02,9.688485139264159329e+01
2.834999999999980673e+02,9.723256988459887395e+01
2.835999999999980901e+02,9.746455897578343297e+01
2.836999999999981128e+02,9.725893285523092402e+01
2.837999999999980787e+02,9.751526476604125548e+01
2.838999999999980446e+02,9.792310800232317547e+01
2.839999999999980673e+02,9.824958965682684209e+01
2.840999999999980901e+02,9.874871846670538389e+01
2.841999999999980560e+02,9.994399131335067921e+01
2.842999999999980218e+02,1.012075452640084876e+02
2.843999999999980446e+02,1.028721244413019917e+02
2.844999999999980673e+02,1.061004015050124991e+02
2.845999999999980332e+02,1.112230499229817440e+02
2.846999999999979991e+02,1.209458599530314871e+02
2.847999999999980218e+02,1.442727456377364206e+02
2.848999999999980446e+02,2.408943966061463016e+02
2.849999999999980105e+02,5.317267998282871986e+02
2.850999999999979764e+02,6.834399131335067068e+02
2.851999999999979991e+02,6.528162672659781265e+02
2.852999999999980218e+02,6.256513471882022941e+02
2.853999999999979877e+02,5.171284816039999441e+02
2.854999999999979536e+02,4.600301002499936658e+02
2.855999999999979764e+02,3.495029923486780490e+02
2.856999999999979991e+02,2.665521072700184391e+02
2.857999999999979650e+02,2.017526325092800619e+02
2.858999999999979309e+02,1.687154869826519530e+02
2.859999999999979536e+02,1.488885381682280808e+02
2.860999999999979764e+02,1.398893209767430221e+02
2.861999999999979423e+02,1.330072977955102260e+02
2.862999999999979082e+02,1.264352667861922725e+02
2.863999999999979309e+02,1.213304714527410937e+02
2.864999999999979536e+02,1.186690235095073405e+02
2.865999999999979195e+02,1.173904194338526850e+02
2.866999999999978854e+02,1.198023282240347527e+02
2.867999999999979082e+02,1.286072826443776762e+02
2.868999999999979309e+02,1.466798565692785417e+02
2.869999999999978968e+02,1.740105805408954325e+02
2.870999999999978627e+02,2.064187267998282778e+02
2.871999999999978854e+02,2.371741622686295727e+02
2.872999999999979082e+02,2.587004116057675560e+02
2.873999999999978741e+02,2.662797404105957071e+02
2.874999999999978400e+02,2.638152824423625589e+02
2.875999999999978627e+02,2.560328779576273064e+02
2.876999999999978854e+02,2.480342920633317476e+02
2.877999999999978513e+02,2.429241433297138997e+02
2.878999999999978172e+02,2.407423044872604123e+02
2.879999999999978400e+02,2.400500997449559293e+02
2.880999999999978627e+02,2.397442993863791401e+02
2.881999999999978286e+02,2.415719300017676403e+02
2.882999999999977945e+02,2.446374081462589345e+02
2.883999999999978172e+02,2.504126410949218382e+02
2.884999999999978400e+02,2.596491502739829684e+02
2.885999999999978058e+02,2.738980328779576325e+02
2.886999999999977717e+02,2.899863892325951156e+02
2.887999999999977945e+02,3.043601929244210851e+02
2.888999999999978172e+02,3.052184288275548738e+02
2.889999999999977831e+02,3.022505492285548598e+02
2.890999999999977490e+02,2.936432665841771836e+02
2.891999999999977717e+02,2.846388475038509114e+02
2.892999999999977945e+02,2.761710562864574285e+02
2.893999999999977604e+02,2.692973662281255542e+02
2.894999999999977263e+02,2.649115426378122038e+02
2.895999999999977490e+02,2.625988990177015694e+02
2.896999999999977717e+02,2.623224161006035047e+02
2.897999999999977376e+02,2.649980808565440498e+02
2.898999999999977035e+02,2.706500088381606588e+02
2.899999999999977263e+02,2.807391227494255190e+02
2.900999999999977490e+02,2.936121815105678934e+02
2.901999999999977149e+02,2.993684502916593146e+02
2.902999999999976808e+02,3.028819979293452320e+02
2.903999999999977035e+02,3.033712027474053912e+02
2.904999999999977263e+02,3.021998434382970231e+02
2.905999999999976922e+02,3.013918335395570693e+02
2.906999999999976581e+02,3.016963713037549724e+02
2.907999999999976808e+02,3.014305446832150892e+02
2.908999999999977035e+02,3.010440897957122388e+02
2.909999999999976694e+02,3.022218378323779575e+02
2.910999999999976353e+02,3.022823413550162854e+02
2.911999999999976581e+02,3.029876770788616227e+02
2.912999999999976808e+02,3.057032903209515098e+02
2.913999999999976467e+02,3.066478624277164613e+02
2.914999999999976126e+02,3.076898310648721235e+02
2.915999999999976353e+02,3.109038660639882892e+02
2.916999999999976581e+02,3.136092775434963755e+02
2.917999999999976239e+02,3.166392767859397281e+02
2.918999999999975898e+02,3.191092396656650294e+02
2.919999999999976126e+02,3.233781722683770568e+02
2.920999999999976353e+02,3.253487790712355832e+02
2.921999999999976012e+02,3.295729148253831795e+02
2.922999999999975671e+02,3.319202292871391933e+02
2.923999999999975898e+02,3.342349688139188402e+02
2.924999999999976126e+02,3.358138683366581745e+02
2.925999999999975785e+02,3.378477058660134844e+02
2.926999999999975444e+02,3.428306103381227672e+02
2.927999999999975671e+02,3.454751647685664580e+02
2.928999999999975898e+02,3.478982853968333870e+02
2.929999999999975557e+02,3.514609479558596945e+02
2.930999999999975216e+02,3.535551880003030192e+02
2.931999999999975444e+02,3.564460998459634880e+02
2.932999999999975671e+02,3.575452892603722148e+02
2.933999999999975330e+02,3.588050301760056300e+02
2.934999999999974989e+02,3.596930633064821450e+02
2.935999999999975216e+02,3.599671220423726936e+02
2.936999999999975444e+02,3.602025958940430996e+02
2.937999999999975103e+02,3.590091411833034272e+02
2.938999999999974762e+02,3.578597257645009222e+02
2.939999999999974989e+02,3.559509355824347949e+02
2.940999999999975216e+02,3.527885911971919768e+02
2.941999999999974875e+02,3.491921668644731085e+02
2.942999999999974534e+02,3.481603494861240620e+02
2.943999999999974762e+02,3.449530314891038074e+02
2.944999999999974989e+02,3.425847327087699909e+02
2.945999999999974648e+02,3.397037448549278906e+02
2.946999999999974307e+02,3.368267215474356817e+02
2.947999999999974534e+02,3.335277644503926808e+02
2.948999999999974762e+02,3.316604883715057781e+02
2.949999999999974420e+02,3.292780485341279473e+02
2.950999999999974079e+02,3.284637004116057710e+02
2.951999999999974307e+02,3.265214009747228374e+02
2.952999999999974534e+02,3.260651498699527906e+02
2.953999999999974193e+02,3.236121057549052011e+02
2.954999999999973852e+02,3.223155475871821523e+02
2.955999999999974079e+02,3.201842125198858753e+02
2.956999999999974307e+02,3.212404232216358082e+02
2.957999999999973966e+02,3.183202191863841790e+02
2.958999999999973625e+02,3.184227418499532973e+02
2.959999999999973852e+02,3.164334991540617921e+02
2.960999999999974079e+02,3.155077902073180098e+02
2.961999999999973738e+02,3.141509305320572594e+02
2.962999999999973397e+02,3.133588545743794498e+02
2.963999999999973625e+02,3.122442110047725805e+02
2.964999999999973852e+02,3.122776192520390737e+02
2.965999999999973511e+02,3.119744703416580478e+02
2.966999999999973170e+02,3.110605540264134561e+02
2.967999999999973397e+02,3.095430418423777041e+02
2.968999999999973625e+02,3.093138052069392074e+02
2.969999999999973284e+02,3.090562359536375538e+02
2.970999999999972943e+02,3.096615236988964739e+02
2.971999999999973170e+02,3.088042473674907455e+02
2.972999999999973397e+02,3.099379056084442254e+02
2.973999999999973056e+02,3.095281937324814976e+02
2.974999999999972715e+02,3.085457690462362166e+02
2.975999999999972943e+02,3.088166207924042510e+02
2.976999999999973170e+02,3.098664175147092124e+02
2.977999999999972829e+02,3.106584177167243297e+02
2.978999999999972488e+02,3.111038862654983177e+02
2.979999999999972715e+02,3.107655867276079107e+02
2.980999999999972943e+02,3.094065048862402705e+02
2.981999999999972601e+02,3.090384586247822085e+02
2.982999999999972260e+02,3.098011161334309804e+02
2.983999999999972488e+02,3.107392995126385813e+02
2.984999999999972715e+02,3.118559884851392781e+02
2.985999999999972374e+02,3.111692886543269196e+02
2.986999999999972033e+02,3.122013838034392847e+02
2.987999999999972260e+02,3.124625135728895771e+02
2.988999999999972488e+02,3.124799373753187979e+02
2.989999999999972147e+02,3.127064720587864031e+02
2.990999999999971806e+02,3.121913335521830390e+02
2.991999999999972033e+02,3.125117295017802803e+02
2.992999999999972260e+02,3.127881366632155959e+02
2.993999999999971919e+02,3.130686598823261875e+02
2.994999999999971578e+02,3.123486023080225209e+02
2.995999999999971806e+02,3.126556652609782532e+02
